BUSINESS_ID,USER_ID,BUSINESS_NAME,ADDRESS,LATITUDE,LONGITUDE,PROFILE_DESCRIPTION
1,50,Gainesville Bakery,"437 Oak St, Gainesville, FL",29.69176,-82.297,Best bakery in town with fresh pastries daily.
2,46,College Bookstore,"770 Maple Ave, Gainesville, FL",29.65488,-82.3651,Your one-stop shop for all college books and supplies.
3,5,Healthy Eats,"898 Elm St, Gainesville, FL",29.68542,-82.3688,Healthy and organic meals made fresh daily.
4,44,Campus Tech,"131 Elm St, Gainesville, FL",29.63716,-82.3154,Get the latest gadgets and tech accessories here.
5,74,Gator Mechanics,"133 Maple Ave, Gainesville, FL",29.63297,-82.292,Expert car repair and maintenance services.
6,71,Swamp Tours,"240 Maple Ave, Gainesville, FL",29.70088,-82.3085,Experience the best swamp tours in Florida.
7,88,Gator Gym,"738 Maple Ave, Gainesville, FL",29.61511,-82.356,Top gym with state-of-the-art equipment.
8,94,Alligator Apparel,"660 Maple Ave, Gainesville, FL",29.69663,-82.3479,Trendy apparel for the fashion-forward Gators.
9,86,Sunshine Cafe,"416 Oak St, Gainesville, FL",29.66923,-82.3313,A cozy cafe serving delicious breakfast and lunch.
10,75,Gainesville Pet Care,"769 Oak St, Gainesville, FL",29.6512,-82.2821,Comprehensive pet care for your furry friends.
11,47,Gator Gadgets,"128 Elm St, Gainesville, FL",29.6273,-82.2886,The latest and greatest in tech gadgets.
12,100,Swamp Adventures,"179 Main St, Gainesville, FL",29.6546,-82.3305,Adventure-filled swamp tours for all ages.
13,65,Gator Bites,"969 Main St, Gainesville, FL",29.69042,-82.3086,"Delicious bites made from fresh, local ingredients."
14,49,Tech Haven,"655 Oak St, Gainesville, FL",29.66138,-82.2912,Your tech haven for all electronic needs.
15,95,Pet Paradise,"687 Main St, Gainesville, FL",29.65018,-82.3516,"A paradise for your pets, with everything they need."
16,71,Gym Haven,"868 Oak St, Gainesville, FL",29.61779,-82.3675,Your ultimate destination for fitness and health.
17,66,Book Haven,"331 Main St, Gainesville, FL",29.69559,-82.3162,The best bookstore with a wide range of selections.
18,57,Tech Gurus,"564 Maple Ave, Gainesville, FL",29.62791,-82.2883,Tech experts at your service.
19,96,Swampy Snacks,"993 Main St, Gainesville, FL",29.65866,-82.2918,Healthy snacks and treats for everyone.
20,67,Gator Repair,"297 Main St, Gainesville, FL",29.60587,-82.374,Reliable car repair and maintenance.
21,89,Swampy Services,"864 Oak St, Gainesville, FL",29.6753,-82.3458,All-in-one services for your convenience.
22,3,Gator Gear,"819 Main St, Gainesville, FL",29.64924,-82.2919,Stylish gear for every Gator fan.
23,5,Sunshine Bistro,"626 Broadway, Gainesville, FL",29.62903,-82.3616,Relax and enjoy the best bistro in town.
24,48,Pet Sanctuary,"113 Main St, Gainesville, FL",29.68785,-82.2997,A sanctuary for your pets' needs.
25,36,Fitness Fanatics,"214 Elm St, Gainesville, FL",29.68327,-82.3432,For fitness enthusiasts looking for the best.
26,2,Tech World,"277 Broadway, Gainesville, FL",29.65485,-82.3145,"Everything tech, all in one place."
27,66,Healthy Choices,"506 Maple Ave, Gainesville, FL",29.66597,-82.2881,Healthy eating options for a better lifestyle.
28,100,Swampy Wellness,"745 Main St, Gainesville, FL",29.69605,-82.3435,Wellness services for your health.
29,32,Gator Fitness,"160 Elm St, Gainesville, FL",29.69831,-82.3366,Comprehensive fitness solutions.
30,15,Swampy Fitness,"147 Broadway, Gainesville, FL",29.69371,-82.2812,Fitness solutions tailored for you.
31,30,Gator Treasures,"254 Main St, Gainesville, FL",29.62209,-82.3205,Unique treasures for every Gator.
32,61,Sunshine Spa,"333 Elm St, Gainesville, FL",29.64157,-82.3295,Relaxing spa services in a sunny setting.
33,52,Gator Eats,"960 Maple Ave, Gainesville, FL",29.65275,-82.3372,"Healthy, delicious meals every day."
34,8,Tech Treasures,"650 Elm St, Gainesville, FL",29.6128,-82.3311,"Treasures in tech, just for you."
35,3,Pet Kingdom,"788 Maple Ave, Gainesville, FL",29.68619,-82.3696,A kingdom for your pets.
36,57,Gator Cafeteria,"345 Broadway, Gainesville, FL",29.64781,-82.3513,Cafeteria-style healthy meals.
37,23,Swamp Treats,"289 Elm St, Gainesville, FL",29.64802,-82.3676,Bite into our delicious meals.
38,99,Gator Delights,"467 Maple Ave, Gainesville, FL",29.63809,-82.3455,Delightful bites for any time of day.
39,32,Swampy Delights,"213 Main St, Gainesville, FL",29.64637,-82.3726,Delicious delights that make you feel good.
40,45,Gator Fix,"727 Main St, Gainesville, FL",29.66897,-82.3464,Quick fixes for all your tech needs.
41,29,Tech Fix,"666 Oak St, Gainesville, FL",29.66991,-82.2767,Quick fixes for your car needs.
42,55,Gator Read,"924 Main St, Gainesville, FL",29.60504,-82.2765,Read all about it at our bookstore.
43,77,Swamp Read,"868 Main St, Gainesville, FL",29.66604,-82.3111,Your one-stop read shop.
44,69,Gator Supply,"716 Maple Ave, Gainesville, FL",29.62072,-82.294,Supplies for every need.
45,27,Swamp Supply,"678 Main St, Gainesville, FL",29.67037,-82.3425,All your swamp essentials in one place.
