REVIEW_ID,CUSTOMER_ID,BUSINESS_ID,RATING,COMMENT
1,87,99,2,Loved it!
2,37,57,3,Excellent service!
3,43,89,4,Would definitely recommend.
4,70,76,2,Excellent service!
5,16,20,1,Amazing quality!
6,7,52,1,Could be better.
7,28,97,4,Excellent service!
8,76,77,2,Loved it!
9,28,91,1,Friendly staff and great service.
10,15,50,3,Will visit again.
11,24,27,2,Would definitely recommend.
12,32,22,2,Will visit again.
13,95,23,4,Excellent service!
14,80,79,2,Very satisfied with the experience.
15,14,54,2,Loved it!
16,33,42,3,Very satisfied with the experience.
17,29,72,2,Amazing quality!
18,72,6,4,Could be better.
19,42,14,4,Loved it!
20,28,25,5,Could be better.
21,29,7,5,Will visit again.
22,70,47,3,Not worth the money.
23,35,95,4,Will visit again.
24,12,66,1,Could be better.
25,72,50,1,Will visit again.
26,23,61,4,Very satisfied with the experience.
27,45,48,3,Will visit again.
28,85,28,4,Loved it!
29,90,19,5,Very satisfied with the experience.
30,46,45,5,Not worth the money.
31,48,70,1,Not what I expected.
32,81,41,2,Very satisfied with the experience.
33,18,59,2,Will visit again.
34,35,13,3,Very satisfied with the experience.
35,90,72,5,Could be better.
36,76,56,5,Friendly staff and great service.
37,15,3,3,Could be better.
38,58,96,5,Friendly staff and great service.
39,55,30,3,Not worth the money.
40,6,93,4,Could be better.
41,5,58,1,Will visit again.
42,13,12,3,Amazing quality!
43,74,93,1,Will visit again.
44,74,36,2,Friendly staff and great service.
45,5,12,3,Very satisfied with the experience.
46,9,27,4,Will visit again.
47,17,24,3,Very satisfied with the experience.
48,92,54,4,Would definitely recommend.
49,89,88,2,Not worth the money.
50,40,15,1,Loved it!
51,21,66,1,Loved it!
52,68,15,3,Would definitely recommend.
53,81,34,5,Not worth the money.
54,93,76,5,Very satisfied with the experience.
55,96,52,1,Amazing quality!
56,37,80,5,Not worth the money.
57,2,87,4,Excellent service!
58,99,83,4,Very satisfied with the experience.
59,1,1,2,Friendly staff and great service.
60,70,60,4,Could be better.
61,52,77,4,Could be better.
62,77,43,4,Very satisfied with the experience.
63,14,71,3,Not what I expected.
64,57,89,1,Amazing quality!
65,28,83,3,Friendly staff and great service.
66,61,63,5,Loved it!
67,68,6,5,Not what I expected.
68,73,8,2,Excellent service!
69,84,34,2,Amazing quality!
70,17,24,4,Very satisfied with the experience.
71,35,88,2,Not worth the money.
72,45,53,5,Not worth the money.
73,8,41,3,Not worth the money.
74,93,27,3,Amazing quality!
75,91,17,1,Amazing quality!
76,51,57,1,Will visit again.
77,55,71,5,Excellent service!
78,43,47,5,Could be better.
79,7,69,2,Very satisfied with the experience.
80,30,6,3,Friendly staff and great service.
81,48,26,2,Loved it!
82,6,53,5,Friendly staff and great service.
83,20,59,5,Loved it!
84,12,17,4,Could be better.
85,74,74,4,Could be better.
86,56,26,5,Excellent service!
87,2,82,1,Excellent service!
88,17,32,2,Excellent service!
89,93,53,3,Will visit again.
90,72,1,1,Not worth the money.
91,42,33,4,Excellent service!
92,60,15,4,Very satisfied with the experience.
93,7,26,1,Not worth the money.
94,3,35,3,Friendly staff and great service.
95,76,45,3,Loved it!
96,25,46,1,Very satisfied with the experience.
97,74,30,5,Loved it!
98,34,13,3,Friendly staff and great service.
99,94,97,1,Not worth the money.
100,20,35,1,Not what I expected.
